Game,Badge Name,Location,Champion,url
Ruby / Sapphire / Emerald,Balance,Petalburg City,Norman,https://archives.bulbagarden.net/media/upload/thumb/6/63/Balance_Badge.png/50px-Balance_Badge.png
Ruby / Sapphire / Emerald,Feather,Fortree City,Winona,https://archives.bulbagarden.net/media/upload/thumb/6/62/Feather_Badge.png/50px-Feather_Badge.png
Ruby / Sapphire / Emerald,Mind,Mossdeep City,Tate and Liza,https://archives.bulbagarden.net/media/upload/thumb/c/cc/Mind_Badge.png/50px-Mind_Badge.png
Ruby / Sapphire / Emerald,Rain,Sootopolis City,Wallace,https://archives.bulbagarden.net/media/upload/thumb/9/9b/Rain_Badge.png/50px-Rain_Badge.png
Diamond / Pearl / Platinum,Coal,Oreburgh City,Roark,https://archives.bulbagarden.net/media/upload/thumb/0/0b/Coal_Badge.png/50px-Coal_Badge.png
Diamond / Pearl / Platinum,Forest,Eterna City,Gardenia,https://archives.bulbagarden.net/media/upload/thumb/8/8c/Forest_Badge.png/50px-Forest_Badge.png
Diamond / Pearl / Platinum,Cobble,Veilstone City,Maylene,https://archives.bulbagarden.net/media/upload/thumb/2/27/Cobble_Badge.png/50px-Cobble_Badge.png
Diamond / Pearl / Platinum,Fen,Pastoria City,Crasher Wake,https://archives.bulbagarden.net/media/upload/thumb/1/13/Fen_Badge.png/50px-Fen_Badge.png
Diamond / Pearl / Platinum,Relic,Hearthome City,Fantina,https://archives.bulbagarden.net/media/upload/thumb/2/28/Relic_Badge.png/50px-Relic_Badge.png
Diamond / Pearl / Platinum,Mine,Canalave City,Byron,https://archives.bulbagarden.net/media/upload/thumb/f/fe/Mine_Badge.png/50px-Mine_Badge.png
Diamond / Pearl / Platinum,Icicle,Snowpoint City,Candice,https://archives.bulbagarden.net/media/upload/thumb/0/09/Icicle_Badge.png/50px-Icicle_Badge.png
Diamond / Pearl / Platinum,Beacon,Sunyshore City,Volkner,https://archives.bulbagarden.net/media/upload/thumb/0/0c/Beacon_Badge.png/50px-Beacon_Badge.png
Black / White,Trio,Striaton City,Cilan,https://archives.bulbagarden.net/media/upload/7/74/Trio_Badge.png
Black / White,Basic,Nacrene City,Lenora,https://archives.bulbagarden.net/media/upload/8/85/Basic_Badge.png
Black / White,Insect,Castelia City,Burgh,https://archives.bulbagarden.net/media/upload/8/8a/Insect_Badge.png
Black / White,Bolt,Nimbasa City,Elesa,https://archives.bulbagarden.net/media/upload/5/5b/Bolt_Badge.png
Black / White,Quake,Driftveil City,Clay,https://archives.bulbagarden.net/media/upload/2/29/Quake_Badge.png
Black / White,Jet,Mistralton City,Skyla,https://archives.bulbagarden.net/media/upload/9/9c/Jet_Badge.png
Black / White,Freeze,Icirrus City,Brycen,https://archives.bulbagarden.net/media/upload/a/ac/Freeze_Badge.png
Black / White,Legend,Opelucid City,Iris,https://archives.bulbagarden.net/media/upload/c/c0/Legend_Badge.png
Black 2 / White 2,Basic,Nacrene City,Cheren,https://archives.bulbagarden.net/media/upload/8/85/Basic_Badge.png
Black 2 / White 2,Toxic,Virbank City,Roxie,https://archives.bulbagarden.net/media/upload/3/3e/Toxic_Badge.png
Black 2 / White 2,Insect,Castelia City,Burgh,https://archives.bulbagarden.net/media/upload/8/8a/Insect_Badge.png
Black 2 / White 2,Bolt,Nimbasa City,Elesa,https://archives.bulbagarden.net/media/upload/5/5b/Bolt_Badge.png
Black 2 / White 2,Quake,Driftveil City,Clay,https://archives.bulbagarden.net/media/upload/2/29/Quake_Badge.png
Black 2 / White 2,Jet,Mistralton City,Skyla,https://archives.bulbagarden.net/media/upload/9/9c/Jet_Badge.png
Black 2 / White 2,Legend,Opelucid City,Drayden,https://archives.bulbagarden.net/media/upload/c/c0/Legend_Badge.png
Black 2 / White 2,Wave,Humilau City,Marlon,https://archives.bulbagarden.net/media/upload/0/00/Wave_Badge.png
X / Y,Bug,Santalune City,Viola,https://archives.bulbagarden.net/media/upload/thumb/a/a5/Bug_Badge.png/50px-Bug_Badge.png
X / Y,Cliff,Cyllage City,Grant,https://archives.bulbagarden.net/media/upload/thumb/3/39/Cliff_Badge.png/50px-Cliff_Badge.png
X / Y,Rumble,Shalour City,Korrina,https://archives.bulbagarden.net/media/upload/thumb/d/d4/Rumble_Badge.png/50px-Rumble_Badge.png
X / Y,Plant,Coumarine City,Ramos,https://archives.bulbagarden.net/media/upload/thumb/7/7d/Plant_Badge.png/50px-Plant_Badge.png
X / Y,Voltage,Lumiose City,Clemont,https://archives.bulbagarden.net/media/upload/thumb/f/fc/Voltage_Badge.png/50px-Voltage_Badge.png
X / Y,Fairy,Laverre City,Valerie,https://archives.bulbagarden.net/media/upload/thumb/d/d1/Fairy_Badge.png/50px-Fairy_Badge.png
X / Y,Psychic,Anistar City,Olympia,https://archives.bulbagarden.net/media/upload/thumb/1/13/Psychic_Badge.png/50px-Psychic_Badge.png
X / Y,Iceberg,Snowbelle City,Wulfric,https://archives.bulbagarden.net/media/upload/thumb/8/84/Iceberg_Badge.png/50px-Iceberg_Badge.png
Sun / Moon / Ultra Sun / Ultra Moon,Melemele Trial,Iki Town,Hala,https://archives.bulbagarden.net/media/upload/thumb/c/cb/Melemele_Trial_Completion.png/100px-Melemele_Trial_Completion.png
Sun / Moon / Ultra Sun / Ultra Moon,Akala Trial,Ruins of Life,Olivia,https://archives.bulbagarden.net/media/upload/thumb/d/d7/Akala_Trial_Completion.png/100px-Akala_Trial_Completion.png
Sun / Moon / Ultra Sun / Ultra Moon,Ula'ula Trial,Malie City,Nanu,https://archives.bulbagarden.net/media/upload/thumb/3/3a/Ula%27ula_Trial_Completion.png/100px-Ula%27ula_Trial_Completion.png
Sun / Moon / Ultra Sun / Ultra Moon,Poni Trial,Vast Poni Canyon,Hapu,https://archives.bulbagarden.net/media/upload/thumb/e/e3/Poni_Trial_Completion.png/100px-Poni_Trial_Completion.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Melemele Trial,Iki Town,Hala,https://archives.bulbagarden.net/media/upload/thumb/0/08/Dream_Fightinium_Z_Sprite.png/50px-Dream_Fightinium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Akala Trial,Ruins of Life,Olivia,https://archives.bulbagarden.net/media/upload/thumb/9/9b/Dream_Rockium_Z_Sprite.png/50px-Dream_Rockium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Ula'ula Trial,Malie City,Nanu,https://archives.bulbagarden.net/media/upload/thumb/1/1e/Dream_Darkinium_Z_Sprite.png/50px-Dream_Darkinium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Poni Trial,Vast Poni Canyon,Hapu,https://archives.bulbagarden.net/media/upload/thumb/7/7e/Dream_Groundium_Z_Sprite.png/50px-Dream_Groundium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Gumshoos / Alolan Raticate,Verdant Cavern,Ilima,https://archives.bulbagarden.net/media/upload/thumb/f/f0/Dream_Normalium_Z_Sprite.png/50px-Dream_Normalium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Wishiwashi / Araquanid,Brooklet Hill,Lana,https://archives.bulbagarden.net/media/upload/thumb/e/ee/Dream_Waterium_Z_Sprite.png/50px-Dream_Waterium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Salazzle / Alolan Marowak,Wela Volcano Park,Kiawe,https://archives.bulbagarden.net/media/upload/thumb/f/f1/Dream_Firium_Z_Sprite.png/50px-Dream_Firium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Lurantis,Lush Jungle,Mallow,https://archives.bulbagarden.net/media/upload/thumb/d/d7/Dream_Grassium_Z_Sprite.png/50px-Dream_Grassium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Vikavolt / Togedemaru,Hokulani Observatory,Sophocles,https://archives.bulbagarden.net/media/upload/thumb/e/e4/Dream_Electrium_Z_Sprite.png/50px-Dream_Electrium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Mimikyu,Thrifty Megamart (Abandoned Site),Acerola,https://archives.bulbagarden.net/media/upload/thumb/d/d1/Dream_Ghostium_Z_Sprite.png/50px-Dream_Ghostium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Kommo-o ,Vast Poni Canyon,null,https://archives.bulbagarden.net/media/upload/thumb/b/ba/Dream_Dragonium_Z_Sprite.png/50px-Dream_Dragonium_Z_Sprite.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Ribombee,Seafolk Village,Mina,https://archives.bulbagarden.net/media/upload/thumb/b/b7/Dream_Fairium_Z_Sprite.png/50px-Dream_Fairium_Z_Sprite.png
Sword,Grass,Turffield,Milo,https://archives.bulbagarden.net/media/upload/thumb/0/00/Grass_Badge.png/50px-Grass_Badge.png
Sword,Water,Hulbury,Nessa,https://archives.bulbagarden.net/media/upload/thumb/7/7a/Water_Badge.png/50px-Water_Badge.png
Sword,Fire,Motostoke,Kabu,https://archives.bulbagarden.net/media/upload/thumb/c/cc/Fire_Badge.png/50px-Fire_Badge.png
Sword,Fighting,Stow-on-Side,Bea,https://archives.bulbagarden.net/media/upload/thumb/2/20/Fighting_Badge.png/50px-Fighting_Badge.png
Sword,Fairy,Ballonlea,Opal,https://archives.bulbagarden.net/media/upload/thumb/e/e3/GalarFairy_Badge.png/50px-GalarFairy_Badge.png
Sword,Rock,Circhester,Gordie,https://archives.bulbagarden.net/media/upload/thumb/3/3e/Rock_Badge.png/50px-Rock_Badge.png
Sword,Dark,Spikemuth,Piers,https://archives.bulbagarden.net/media/upload/thumb/4/4d/Dark_Badge.png/50px-Dark_Badge.png
Sword,Dragon,Hammerlocke,Raihan,https://archives.bulbagarden.net/media/upload/thumb/2/27/Dragon_Badge.png/50px-Dragon_Badge.png
Shield,Grass,Turffield,Milo,https://archives.bulbagarden.net/media/upload/thumb/0/00/Grass_Badge.png/50px-Grass_Badge.png
Shield,Water,Hulbury,Nessa,https://archives.bulbagarden.net/media/upload/thumb/7/7a/Water_Badge.png/50px-Water_Badge.png
Shield,Fire,Motostoke,Kabu,https://archives.bulbagarden.net/media/upload/thumb/c/cc/Fire_Badge.png/50px-Fire_Badge.png
Shield,Ghost,Stow-on-Side,Allister,https://archives.bulbagarden.net/media/upload/thumb/3/30/Ghost_Badge.png/50px-Ghost_Badge.png
Shield,Fairy,Ballonlea,Opal,https://archives.bulbagarden.net/media/upload/thumb/e/e3/GalarFairy_Badge.png/50px-GalarFairy_Badge.png
Shield,Ice,Circhester,Melony,https://archives.bulbagarden.net/media/upload/thumb/4/43/Ice_Badge.png/50px-Ice_Badge.png
Shield,Dark,Spikemuth,Piers,https://archives.bulbagarden.net/media/upload/thumb/4/4d/Dark_Badge.png/50px-Dark_Badge.png
Shield,Dragon,Hammerlocke,Raihan,https://archives.bulbagarden.net/media/upload/thumb/2/27/Dragon_Badge.png/50px-Dragon_Badge.png
Scarlet / Violet,Bug Badge,Cortondo,Katy,https://archives.bulbagarden.net/media/upload/thumb/9/95/SVbadge_VictoryRoad_Bug.png/50px-SVbadge_VictoryRoad_Bug.png
Scarlet / Violet,Grass,Artazon,Brassius,https://archives.bulbagarden.net/media/upload/thumb/a/ac/SVbadge_VictoryRoad_Grass.png/50px-SVbadge_VictoryRoad_Grass.png
Scarlet / Violet,Thunder,Levincia,Iono,https://archives.bulbagarden.net/media/upload/thumb/f/ff/SVbadge_VictoryRoad_Electric.png/50px-SVbadge_VictoryRoad_Electric.png
Scarlet / Violet,Water,Cascarrafa,Kofu,https://archives.bulbagarden.net/media/upload/thumb/4/4f/SVbadge_VictoryRoad_Water.png/50px-SVbadge_VictoryRoad_Water.png
Scarlet / Violet,Normal,Medali,Larry,https://archives.bulbagarden.net/media/upload/thumb/d/d6/SVbadge_VictoryRoad_Normal.png/50px-SVbadge_VictoryRoad_Normal.png
Scarlet / Violet,Ghost,Montenevera,Ryme,https://archives.bulbagarden.net/media/upload/thumb/4/4c/SVbadge_VictoryRoad_Ghost.png/50px-SVbadge_VictoryRoad_Ghost.png
Scarlet / Violet,Psychic,Alfornada,Tulip,https://archives.bulbagarden.net/media/upload/thumb/2/2d/SVbadge_VictoryRoad_Psychic.png/50px-SVbadge_VictoryRoad_Psychic.png
Scarlet / Violet,Ice,Glaseado,Grusha,https://archives.bulbagarden.net/media/upload/thumb/4/46/SVbadge_VictoryRoad_Ice.png/50px-SVbadge_VictoryRoad_Ice.png
Scarlet / Violet (Extended),Bug Badge,Cortondo,Katy,https://archives.bulbagarden.net/media/upload/thumb/9/95/SVbadge_VictoryRoad_Bug.png/50px-SVbadge_VictoryRoad_Bug.png
Scarlet / Violet (Extended),Grass,Artazon,Brassius,https://archives.bulbagarden.net/media/upload/thumb/a/ac/SVbadge_VictoryRoad_Grass.png/50px-SVbadge_VictoryRoad_Grass.png
Scarlet / Violet (Extended),Thunder,Levincia,Iono,https://archives.bulbagarden.net/media/upload/thumb/f/ff/SVbadge_VictoryRoad_Electric.png/50px-SVbadge_VictoryRoad_Electric.png
Scarlet / Violet (Extended),Water,Cascarrafa,Kofu,https://archives.bulbagarden.net/media/upload/thumb/4/4f/SVbadge_VictoryRoad_Water.png/50px-SVbadge_VictoryRoad_Water.png
Scarlet / Violet (Extended),Normal,Medali,Larry,https://archives.bulbagarden.net/media/upload/thumb/d/d6/SVbadge_VictoryRoad_Normal.png/50px-SVbadge_VictoryRoad_Normal.png
Scarlet / Violet (Extended),Ghost,Montenevera,Ryme,https://archives.bulbagarden.net/media/upload/thumb/4/4c/SVbadge_VictoryRoad_Ghost.png/50px-SVbadge_VictoryRoad_Ghost.png
Scarlet / Violet (Extended),Psychic,Alfornada,Tulip,https://archives.bulbagarden.net/media/upload/thumb/2/2d/SVbadge_VictoryRoad_Psychic.png/50px-SVbadge_VictoryRoad_Psychic.png
Scarlet / Violet (Extended),Ice,Glaseado,Grusha,https://archives.bulbagarden.net/media/upload/thumb/4/46/SVbadge_VictoryRoad_Ice.png/50px-SVbadge_VictoryRoad_Ice.png
Scarlet / Violet (Extended),StarfallStreet Dark,Schedar Squad's Base,Giacomo,https://archives.bulbagarden.net/media/upload/thumb/1/1a/SVbadge_StarfallStreet_Dark.png/50px-SVbadge_StarfallStreet_Dark.png
Scarlet / Violet (Extended),StarfallStreet Fire,Schedar Squad's Base,Mela,https://archives.bulbagarden.net/media/upload/thumb/4/46/SVbadge_StarfallStreet_Fire.png/50px-SVbadge_StarfallStreet_Fire.png
Scarlet / Violet (Extended),StarfallStreet Poison,Navi Squad's Base,Atticus,https://archives.bulbagarden.net/media/upload/thumb/4/4b/SVbadge_StarfallStreet_Poison.png/50px-SVbadge_StarfallStreet_Poison.png
Scarlet / Violet (Extended),StarfallStreet Fairy,Ruchbah Squad's Base,Ortega,https://archives.bulbagarden.net/media/upload/thumb/f/f0/SVbadge_StarfallStreet_Fairy.png/50px-SVbadge_StarfallStreet_Fairy.png
Scarlet / Violet (Extended),StarfallStreet Fighting,Caph Squad's Base,Eri,https://archives.bulbagarden.net/media/upload/thumb/0/03/SVbadge_StarfallStreet_Fighting.png/50px-SVbadge_StarfallStreet_Fighting.png
Scarlet / Violet (Extended),Dominant Klawf,South Province (Area Three),Arven,https://www.pokepedia.fr/images/thumb/6/66/Badge_Dominant_Roche_Paldea_EV.png/40px-Badge_Dominant_Roche_Paldea_EV.png
Scarlet / Violet (Extended),Dominant Bombirdier,West Province (Area One),Arven,https://www.pokepedia.fr/images/thumb/1/14/Badge_Dominant_Vol_Paldea_EV.png/40px-Badge_Dominant_Vol_Paldea_EV.png
Scarlet / Violet (Extended),Dominant Orthworm,East Province (Area Three),Arven,https://www.pokepedia.fr/images/thumb/5/50/Badge_Dominant_Acier_Paldea_EV.png/40px-Badge_Dominant_Acier_Paldea_EV.png
Scarlet / Violet (Extended),Dominant Great Tusk / iron Threads,Asado Desert,Arven,https://www.pokepedia.fr/images/thumb/0/01/Badge_Dominant_Sol_Paldea_EV.png/40px-Badge_Dominant_Sol_Paldea_EV.png
Scarlet / Violet (Extended),Dominant Dondozo Nigirigon,Casseroya Lake,Arven,https://www.pokepedia.fr/images/thumb/5/50/Badge_Dominant_Dragon_Paldea_EV.png/40px-Badge_Dominant_Dragon_Paldea_EV.png
