Game,Badge Name,Location,Champion,url
Diamond / Pearl / Platinum,Mine,Canalave City,Byron,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/mine.png
Diamond / Pearl / Platinum,Icicle,Snowpoint City,Candice,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/icicle.png
Diamond / Pearl / Platinum,Beacon,Sunyshore City,Volkner,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/beacon.png
Black / White,Trio,Striaton City,Cilan,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/trio.png
Black / White,Basic,Nacrene City,Lenora,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/basic.png
Black / White,Insect,Castelia City,Burgh,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/insect.png
Black / White,Bolt,Nimbasa City,Elesa,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/bolt.png
Black / White,Quake,Driftveil City,Clay,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/quake.png
Black / White,Jet,Mistralton City,Skyla,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/jet.png
Black / White,Freeze,Icirrus City,Brycen,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/freeze.png
Black / White,Legend,Opelucid City,Iris,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/blackwhite/legend.png
Black 2 / White 2,Basic,Nacrene City,Cheren,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/basic.png
Black 2 / White 2,Toxic,Virbank City,Roxie,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/toxic.png
Black 2 / White 2,Insect,Castelia City,Burgh,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/insect.png
Black 2 / White 2,Bolt,Nimbasa City,Elesa,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/bolt.png
Black 2 / White 2,Quake,Driftveil City,Clay,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/quake.png
Black 2 / White 2,Jet,Mistralton City,Skyla,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/jet.png
Black 2 / White 2,Legend,Opelucid City,Drayden,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/legend.png
Black 2 / White 2,Wave,Humilau City,Marlon,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/black2white2/wave.png
X / Y,Bug,Santalune City,Viola,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/bug.png
X / Y,Cliff,Cyllage City,Grant,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/cliff.png
X / Y,Rumble,Shalour City,Korrina,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/rumble.png
X / Y,Plant,Coumarine City,Ramos,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/plant.png
X / Y,Voltage,Lumiose City,Clemont,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/voltage.png
X / Y,Fairy,Laverre City,Valerie,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/fairy.png
X / Y,Psychic,Anistar City,Olympia,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/psychic.png
X / Y,Iceberg,Snowbelle City,Wulfric,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/xy/iceberg.png
Sun / Moon / Ultra Sun / Ultra Moon,Melemele Trial,Iki Town,Hala,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoon/melemeletrial.png
Sun / Moon / Ultra Sun / Ultra Moon,Akala Trial,Ruins of Life,Olivia,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoon/akalatrial.png
Sun / Moon / Ultra Sun / Ultra Moon,Ula'ula Trial,Malie City,Nanu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoon/ulaulatrial.png
Sun / Moon / Ultra Sun / Ultra Moon,Poni Trial,Vast Poni Canyon,Hapu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoon/ponitrial.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Melemele Trial,Iki Town,Hala,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/melemeletrial.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Akala Trial,Ruins of Life,Olivia,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/akalatrial.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Ula'ula Trial,Malie City,Nanu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/ulaulatrial.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Poni Trial,Vast Poni Canyon,Hapu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/ponitrial.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Gumshoos / Alolan Raticate,Verdant Cavern,Ilima,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantgumshoosalolanraticate.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Wishiwashi / Araquanid,Brooklet Hill,Lana,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantwishiwashiaraquanid.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Salazzle / Alolan Marowak,Wela Volcano Park,Kiawe,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantsalazzlealolanmarowak.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Lurantis,Lush Jungle,Mallow,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantlurantis.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Vikavolt / Togedemaru,Hokulani Observatory,Sophocles,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantvikavolttogedemaru.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Mimikyu,Thrifty Megamart (Abandoned Site),Acerola,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantmimikyu.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Kommo-o ,Vast Poni Canyon,null,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantkommo-o.png
Sun / Moon / Ultra Sun / Ultra Moon (Extended),Dominant Ribombee,Seafolk Village,Mina,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sunmoonultrasunultramoonextended/dominantribombee.png
Sword,Grass,Turffield,Milo,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/grass.png
Sword,Water,Hulbury,Nessa,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/water.png
Sword,Fire,Motostoke,Kabu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/fire.png
Sword,Fighting,Stow-on-Side,Bea,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/fighting.png
Sword,Fairy,Ballonlea,Opal,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/fairy.png
Sword,Rock,Circhester,Gordie,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/rock.png
Sword,Dark,Spikemuth,Piers,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/dark.png
Sword,Dragon,Hammerlocke,Raihan,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/sword/dragon.png
Shield,Grass,Turffield,Milo,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/grass.png
Shield,Water,Hulbury,Nessa,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/water.png
Shield,Fire,Motostoke,Kabu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/fire.png
Shield,Ghost,Stow-on-Side,Allister,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/ghost.png
Shield,Fairy,Ballonlea,Opal,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/fairy.png
Shield,Ice,Circhester,Melony,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/ice.png
Shield,Dark,Spikemuth,Piers,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/dark.png
Shield,Dragon,Hammerlocke,Raihan,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/shield/dragon.png
Scarlet / Violet,Bug Badge,Cortondo,Katy,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/bugbadge.png
Scarlet / Violet,Grass,Artazon,Brassius,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/grass.png
Scarlet / Violet,Thunder,Levincia,Iono,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/thunder.png
Scarlet / Violet,Water,Cascarrafa,Kofu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/water.png
Scarlet / Violet,Normal,Medali,Larry,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/normal.png
Scarlet / Violet,Ghost,Montenevera,Ryme,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/ghost.png
Scarlet / Violet,Psychic,Alfornada,Tulip,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/psychic.png
Scarlet / Violet,Ice,Glaseado,Grusha,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletviolet/ice.png
Scarlet / Violet (Extended),Bug Badge,Cortondo,Katy,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/bugbadge.png
Scarlet / Violet (Extended),Grass,Artazon,Brassius,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/grass.png
Scarlet / Violet (Extended),Thunder,Levincia,Iono,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/thunder.png
Scarlet / Violet (Extended),Water,Cascarrafa,Kofu,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/water.png
Scarlet / Violet (Extended),Normal,Medali,Larry,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/normal.png
Scarlet / Violet (Extended),Ghost,Montenevera,Ryme,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/ghost.png
Scarlet / Violet (Extended),Psychic,Alfornada,Tulip,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/psychic.png
Scarlet / Violet (Extended),Ice,Glaseado,Grusha,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/ice.png
Scarlet / Violet (Extended),StarfallStreet Dark,Schedar Squad's Base,Giacomo,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/starfallstreetdark.png
Scarlet / Violet (Extended),StarfallStreet Fire,Schedar Squad's Base,Mela,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/starfallstreetfire.png
Scarlet / Violet (Extended),StarfallStreet Poison,Navi Squad's Base,Atticus,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/starfallstreetpoison.png
Scarlet / Violet (Extended),StarfallStreet Fairy,Ruchbah Squad's Base,Ortega,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/starfallstreetfairy.png
Scarlet / Violet (Extended),StarfallStreet Fighting,Caph Squad's Base,Eri,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/starfallstreetfighting.png
Scarlet / Violet (Extended),Dominant Klawf,South Province (Area Three),Arven,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/dominantklawf.png
Scarlet / Violet (Extended),Dominant Bombirdier,West Province (Area One),Arven,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/dominantbombirdier.png
Scarlet / Violet (Extended),Dominant Orthworm,East Province (Area Three),Arven,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/dominantorthworm.png
Scarlet / Violet (Extended),Dominant Great Tusk / iron Threads,Asado Desert,Arven,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/dominantgreattuskironthreads.png
Scarlet / Violet (Extended),Dominant Dondozo Nigirigon,Casseroya Lake,Arven,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/scarletvioletextended/dominantdondozonigirigon.png
